Yas,Gelir,Vade,Kriz_Tepkisi,Risk_Profili
26,19000,long,sell,Dengeli
50,69000,medium,sell,Defansif
70,48000,long,sell,Defansif
37,17000,long,hold,Agresif
30,54000,long,sell,Dengeli
45,92000,short,sell,Defansif
65,21000,long,buy,Agresif
46,47000,short,hold,Dengeli
30,25000,short,hold,Defansif
63,38000,medium,hold,Dengeli
52,85000,medium,hold,Agresif
23,43000,short,sell,Dengeli
35,85000,short,buy,Agresif
68,77000,short,sell,Defansif
22,40000,long,hold,Agresif
64,37000,short,sell,Defansif
42,27000,short,hold,Defansif
19,26000,medium,hold,Dengeli
27,58000,medium,hold,Agresif
73,49000,long,sell,Defansif
47,34000,short,hold,Defansif
67,17000,medium,buy,Defansif
62,52000,medium,buy,Agresif
22,38000,long,sell,Dengeli
72,45000,medium,hold,Defansif
73,57000,long,buy,Agresif
50,17000,short,hold,Defansif
71,17000,medium,hold,Defansif
18,107000,medium,buy,Agresif
35,37000,long,buy,Agresif
49,17000,short,hold,Defansif
64,17000,short,hold,Defansif
66,112000,medium,sell,Dengeli
28,32000,short,hold,Dengeli
38,78000,short,sell,Defansif
43,53000,long,sell,Dengeli
42,37000,medium,hold,Dengeli
39,69000,medium,sell,Dengeli
44,17000,long,hold,Agresif
66,17000,medium,hold,Defansif
30,37000,short,hold,Dengeli
50,17000,short,hold,Defansif
51,35000,medium,buy,Agresif
58,71000,medium,sell,Defansif
52,53000,medium,hold,Dengeli
18,83000,short,buy,Agresif
38,54000,medium,hold,Agresif
65,74000,long,hold,Dengeli
72,48000,long,buy,Dengeli
23,35000,long,sell,Dengeli
45,87000,long,hold,Agresif
34,32000,medium,hold,Dengeli
22,58000,long,sell,Dengeli
48,69000,short,buy,Dengeli
22,71000,medium,buy,Agresif
55,20000,medium,hold,Defansif
20,76000,short,sell,Dengeli
70,25000,long,sell,Defansif
40,70000,long,hold,Agresif
54,63000,medium,sell,Defansif
70,70000,long,hold,Dengeli
54,19000,short,hold,Defansif
27,64000,medium,hold,Agresif
27,77000,medium,hold,Agresif
36,54000,medium,hold,Agresif
34,29000,long,sell,Defansif
38,72000,long,sell,Dengeli
31,52000,long,hold,Agresif
26,17000,medium,hold,Dengeli
63,27000,long,hold,Dengeli
18,36000,short,hold,Agresif
68,87000,long,buy,Agresif
62,83000,medium,sell,Defansif
30,83000,short,sell,Dengeli
21,55000,medium,sell,Agresif
18,72000,short,hold,Agresif
66,21000,short,hold,Defansif
57,50000,medium,buy,Agresif
49,61000,short,hold,Dengeli
51,23000,short,buy,Dengeli
45,55000,short,buy,Dengeli
48,92000,medium,sell,Dengeli
25,63000,short,hold,Dengeli
56,72000,medium,hold,Dengeli
43,17000,short,sell,Defansif
75,88000,long,hold,Agresif
51,45000,long,hold,Dengeli
71,30000,medium,sell,Defansif
71,45000,long,hold,Dengeli
20,17000,long,hold,Agresif
67,76000,long,sell,Dengeli
29,41000,medium,hold,Dengeli
18,31000,short,sell,Defansif
71,45000,medium,hold,Defansif
61,77000,medium,sell,Defansif
22,53000,medium,buy,Agresif
47,17000,medium,hold,Dengeli
47,61000,long,sell,Dengeli
74,26000,long,hold,Dengeli
34,17000,short,hold,Dengeli
65,87000,short,hold,Dengeli
64,61000,short,hold,Defansif
40,48000,long,hold,Agresif
32,41000,medium,sell,Defansif
54,84000,medium,sell,Defansif
38,127000,medium,hold,Agresif
31,61000,medium,hold,Agresif
19,24000,medium,hold,Agresif
28,46000,medium,buy,Agresif
68,60000,long,hold,Agresif
56,17000,long,hold,Dengeli
55,58000,long,sell,Defansif
51,60000,long,sell,Agresif
55,83000,medium,buy,Agresif
67,80000,medium,hold,Defansif
51,52000,long,hold,Agresif
35,87000,long,sell,Dengeli
47,100000,short,hold,Dengeli
32,50000,medium,buy,Agresif
44,60000,short,sell,Defansif
68,17000,medium,buy,Dengeli
51,17000,medium,hold,Dengeli
69,29000,medium,hold,Defansif
74,38000,short,hold,Defansif
55,22000,medium,buy,Dengeli
50,49000,long,sell,Dengeli
41,39000,short,sell,Defansif
32,76000,medium,buy,Agresif
47,38000,medium,hold,Dengeli
72,17000,long,sell,Defansif
59,53000,short,hold,Defansif
68,49000,long,hold,Agresif
34,28000,medium,hold,Agresif
22,52000,long,sell,Dengeli
46,23000,long,hold,Agresif
21,58000,short,sell,Dengeli
27,115000,short,hold,Agresif
73,17000,medium,buy,Dengeli
34,37000,medium,hold,Agresif
27,33000,short,sell,Defansif
34,39000,short,sell,Defansif
37,75000,medium,hold,Dengeli
41,63000,short,hold,Dengeli
22,71000,short,hold,Agresif
51,50000,medium,hold,Defansif
23,17000,short,hold,Dengeli
70,22000,medium,sell,Defansif
19,68000,medium,sell,Dengeli
30,54000,medium,sell,Dengeli
60,81000,long,sell,Dengeli
60,57000,medium,hold,Defansif
65,20000,medium,buy,Dengeli
28,36000,medium,hold,Agresif
68,64000,long,sell,Dengeli
64,67000,long,sell,Dengeli
74,71000,long,sell,Defansif
40,23000,medium,sell,Defansif
72,19000,short,hold,Defansif
33,45000,medium,hold,Dengeli
48,86000,short,sell,Defansif
28,32000,long,sell,Dengeli
71,61000,medium,sell,Defansif
33,61000,long,sell,Dengeli
25,69000,medium,hold,Agresif
21,91000,long,sell,Agresif
57,89000,medium,hold,Dengeli
21,35000,short,hold,Dengeli
73,17000,medium,buy,Dengeli
42,33000,medium,buy,Dengeli
20,51000,medium,hold,Dengeli
49,40000,long,sell,Dengeli
20,99000,short,hold,Agresif
44,50000,medium,hold,Agresif
46,66000,medium,sell,Defansif
49,55000,medium,hold,Dengeli
67,41000,long,buy,Agresif
75,17000,long,hold,Defansif
68,48000,long,sell,Defansif
36,131000,long,sell,Agresif
38,18000,long,hold,Dengeli
22,17000,short,sell,Defansif
35,98000,long,hold,Agresif
45,68000,medium,hold,Agresif
59,54000,short,sell,Defansif
39,84000,short,buy,Agresif
38,29000,long,hold,Agresif
23,47000,long,sell,Dengeli
18,73000,short,hold,Agresif
22,102000,long,hold,Agresif
58,20000,long,hold,Dengeli
29,82000,short,buy,Agresif
43,59000,short,hold,Dengeli
63,54000,long,buy,Agresif
51,49000,medium,hold,Dengeli
66,17000,medium,hold,Defansif
31,74000,short,buy,Agresif
43,30000,medium,hold,Dengeli
62,23000,long,sell,Defansif
44,72000,medium,hold,Agresif
26,69000,long,hold,Agresif
43,51000,long,sell,Dengeli
74,76000,long,buy,Agresif
64,85000,medium,sell,Defansif
74,82000,short,sell,Defansif
39,36000,medium,buy,Agresif
64,75000,short,hold,Defansif
73,55000,long,sell,Defansif
47,93000,medium,hold,Agresif
60,46000,medium,hold,Dengeli
65,41000,medium,sell,Defansif
34,34000,long,buy,Agresif
43,54000,long,hold,Agresif
53,61000,medium,hold,Dengeli
18,62000,long,hold,Agresif
25,58000,medium,hold,Agresif
66,66000,medium,sell,Defansif
52,44000,long,sell,Dengeli
69,28000,medium,hold,Dengeli
32,26000,long,buy,Agresif
64,74000,short,sell,Defansif
73,61000,short,hold,Defansif
39,17000,long,buy,Dengeli
31,77000,short,sell,Dengeli
43,97000,long,sell,Dengeli
45,32000,long,sell,Defansif
40,58000,short,hold,Dengeli
31,38000,medium,sell,Defansif
41,65000,short,hold,Dengeli
19,20000,medium,hold,Dengeli
62,48000,short,hold,Dengeli
43,74000,short,sell,Defansif
31,80000,medium,hold,Agresif
73,60000,medium,hold,Defansif
68,41000,long,buy,Dengeli
24,17000,long,buy,Agresif
20,31000,long,hold,Agresif
64,38000,medium,hold,Dengeli
40,32000,long,sell,Dengeli
63,51000,medium,sell,Defansif
60,41000,long,sell,Defansif
64,54000,long,hold,Dengeli
62,80000,medium,sell,Defansif
35,39000,medium,sell,Dengeli
75,17000,long,buy,Agresif
55,32000,long,sell,Defansif
52,64000,long,sell,Defansif
68,66000,medium,sell,Defansif
32,60000,medium,hold,Agresif
42,82000,short,hold,Dengeli
72,45000,long,hold,Dengeli
54,101000,short,hold,Dengeli
45,70000,long,hold,Agresif
27,17000,short,buy,Dengeli
56,95000,short,buy,Agresif
74,30000,medium,buy,Dengeli
34,24000,long,hold,Dengeli
56,63000,short,sell,Defansif
39,17000,medium,sell,Defansif
43,32000,medium,sell,Defansif
61,88000,short,hold,Dengeli
42,63000,short,buy,Agresif
34,70000,long,hold,Agresif
30,33000,medium,sell,Defansif
37,17000,short,hold,Dengeli
42,67000,long,buy,Agresif
21,73000,long,hold,Agresif
27,72000,medium,buy,Agresif
20,55000,medium,buy,Agresif
58,25000,long,buy,Agresif
62,110000,long,hold,Agresif
35,61000,long,hold,Agresif
64,45000,medium,sell,Defansif
53,45000,medium,sell,Defansif
64,53000,long,hold,Dengeli
39,76000,short,sell,Defansif
51,54000,medium,buy,Dengeli
64,71000,long,sell,Defansif
25,53000,medium,buy,Agresif
57,47000,medium,hold,Dengeli
66,66000,medium,sell,Defansif
61,65000,short,buy,Agresif
36,45000,medium,hold,Agresif
59,31000,long,hold,Agresif
58,58000,short,sell,Defansif
54,51000,short,hold,Defansif
23,36000,long,sell,Dengeli
69,28000,short,hold,Defansif
43,60000,medium,hold,Agresif
51,63000,long,hold,Agresif
73,40000,long,hold,Dengeli
62,35000,medium,hold,Dengeli
23,29000,long,sell,Dengeli
54,59000,short,buy,Dengeli
74,29000,long,sell,Defansif
50,106000,medium,hold,Agresif
70,39000,long,hold,Dengeli
39,17000,medium,buy,Agresif
38,49000,medium,hold,Dengeli
23,48000,medium,hold,Agresif
23,77000,medium,hold,Agresif
72,57000,long,hold,Defansif
65,29000,medium,sell,Defansif
21,42000,medium,hold,Agresif
47,58000,medium,hold,Dengeli
28,17000,medium,buy,Agresif
47,83000,long,hold,Agresif
48,29000,long,hold,Dengeli
41,85000,medium,sell,Defansif
72,59000,long,buy,Agresif
26,65000,long,buy,Agresif
72,78000,medium,sell,Defansif
20,64000,medium,sell,Defansif
68,66000,long,hold,Agresif
48,45000,medium,sell,Defansif
57,59000,long,sell,Dengeli
54,35000,medium,sell,Dengeli
53,41000,medium,sell,Defansif
41,99000,short,hold,Dengeli
48,29000,medium,hold,Dengeli
23,53000,long,sell,Agresif
19,52000,medium,sell,Agresif
37,42000,medium,sell,Defansif
45,62000,long,hold,Dengeli
28,64000,medium,sell,Dengeli
21,26000,medium,hold,Dengeli
32,52000,long,hold,Agresif
23,22000,long,sell,Dengeli
71,69000,short,sell,Defansif
66,54000,medium,sell,Defansif
47,52000,medium,hold,Dengeli
73,66000,medium,buy,Dengeli
55,43000,medium,sell,Defansif
68,72000,medium,buy,Agresif
74,26000,short,sell,Defansif
19,85000,medium,buy,Agresif
32,36000,short,hold,Dengeli
28,17000,medium,hold,Dengeli
25,41000,long,hold,Agresif
43,38000,long,hold,Agresif
68,41000,medium,buy,Dengeli
62,55000,short,hold,Defansif
61,77000,short,hold,Dengeli
22,45000,medium,sell,Dengeli
23,32000,short,sell,Defansif
43,21000,medium,buy,Agresif
71,38000,short,hold,Defansif
21,17000,long,hold,Agresif
36,31000,medium,hold,Agresif
37,81000,short,buy,Agresif
50,29000,long,hold,Dengeli
37,65000,medium,hold,Dengeli
66,19000,short,hold,Defansif
29,94000,medium,hold,Agresif
64,95000,medium,sell,Defansif
18,64000,long,buy,Agresif
43,99000,short,hold,Agresif
31,58000,medium,buy,Agresif
55,69000,medium,sell,Defansif
54,81000,short,sell,Defansif
28,54000,long,buy,Agresif
53,17000,long,hold,Dengeli
30,69000,medium,hold,Agresif
60,38000,medium,hold,Dengeli
20,40000,short,hold,Dengeli
50,57000,long,hold,Agresif
23,64000,short,sell,Dengeli
67,53000,short,buy,Dengeli
73,65000,medium,buy,Agresif
27,32000,medium,sell,Dengeli
22,48000,medium,buy,Agresif
40,71000,short,buy,Agresif
27,94000,medium,hold,Agresif
61,103000,medium,hold,Agresif
19,60000,short,hold,Dengeli
30,71000,long,sell,Agresif
57,99000,short,hold,Dengeli
19,33000,medium,buy,Agresif
37,65000,medium,hold,Agresif
18,69000,medium,hold,Agresif
54,86000,medium,sell,Defansif
26,21000,long,sell,Dengeli
34,26000,short,hold,Defansif
26,50000,long,sell,Dengeli
28,59000,medium,hold,Agresif
32,78000,medium,hold,Agresif
41,62000,medium,hold,Agresif
55,46000,medium,sell,Defansif
72,60000,long,hold,Dengeli
52,57000,long,hold,Agresif
47,93000,long,sell,Agresif
48,54000,long,sell,Dengeli
66,40000,long,sell,Defansif
22,61000,medium,buy,Agresif
61,54000,medium,sell,Defansif
67,17000,medium,hold,Defansif
31,49000,short,buy,Agresif
70,47000,long,hold,Dengeli
73,36000,medium,sell,Defansif
28,75000,short,buy,Agresif
26,30000,short,sell,Defansif
51,61000,medium,hold,Dengeli
29,46000,medium,buy,Agresif
52,52000,medium,hold,Dengeli
52,60000,medium,hold,Dengeli
18,17000,medium,sell,Dengeli
57,54000,medium,hold,Dengeli
39,107000,short,hold,Dengeli
46,17000,short,sell,Defansif
25,48000,medium,buy,Agresif
28,78000,medium,buy,Agresif
58,57000,short,buy,Agresif
54,67000,medium,hold,Dengeli
31,17000,short,hold,Dengeli
47,64000,medium,buy,Agresif
52,30000,medium,buy,Agresif
38,57000,medium,hold,Agresif
54,49000,long,sell,Defansif
22,106000,medium,sell,Dengeli
36,63000,long,hold,Agresif
31,47000,medium,hold,Agresif
43,17000,medium,buy,Dengeli
21,53000,medium,sell,Defansif
42,70000,medium,sell,Dengeli
62,47000,medium,hold,Defansif
59,37000,medium,hold,Dengeli
42,35000,short,sell,Defansif
35,63000,short,hold,Dengeli
57,68000,medium,hold,Dengeli
25,84000,medium,hold,Agresif
56,25000,medium,hold,Dengeli
57,63000,short,sell,Defansif
31,46000,long,hold,Agresif
49,47000,long,buy,Agresif
68,60000,long,sell,Defansif
55,60000,medium,buy,Agresif
50,63000,long,hold,Agresif
40,23000,long,buy,Agresif
32,31000,medium,buy,Agresif
50,87000,medium,sell,Dengeli
42,44000,long,hold,Dengeli
34,57000,medium,sell,Dengeli
50,76000,medium,buy,Agresif
64,61000,short,hold,Defansif
72,63000,short,hold,Dengeli
19,72000,long,hold,Agresif
31,17000,medium,buy,Agresif
70,37000,medium,sell,Defansif
57,61000,short,hold,Defansif
57,84000,medium,hold,Dengeli
68,51000,medium,hold,Dengeli
56,28000,short,hold,Defansif
68,29000,long,hold,Dengeli
23,72000,short,sell,Dengeli
23,44000,medium,buy,Agresif
20,49000,medium,sell,Dengeli
24,65000,medium,hold,Agresif
68,17000,long,sell,Defansif
25,100000,long,sell,Agresif
59,31000,long,sell,Defansif
69,56000,short,hold,Dengeli
32,17000,short,hold,Dengeli
64,39000,medium,sell,Defansif
46,81000,medium,sell,Defansif
50,17000,long,buy,Agresif
69,78000,long,sell,Defansif
47,43000,long,buy,Agresif
56,62000,long,sell,Dengeli
44,66000,long,hold,Agresif
53,61000,medium,sell,Defansif
46,28000,medium,buy,Agresif
55,40000,medium,hold,Dengeli
74,17000,short,hold,Defansif
50,62000,short,sell,Defansif
54,92000,medium,hold,Agresif
44,17000,long,hold,Dengeli
72,30000,short,sell,Defansif
50,45000,long,sell,Defansif
21,54000,long,buy,Agresif
39,71000,medium,sell,Defansif
19,46000,short,hold,Dengeli
27,42000,short,hold,Dengeli
22,77000,long,buy,Agresif
27,66000,long,buy,Agresif
50,63000,long,buy,Agresif
71,52000,medium,sell,Defansif
55,74000,short,buy,Agresif
30,33000,short,sell,Defansif
48,30000,long,hold,Dengeli
64,68000,short,hold,Defansif
53,17000,medium,sell,Defansif
62,52000,medium,buy,Agresif
41,42000,short,sell,Defansif
69,17000,short,hold,Defansif
73,26000,medium,hold,Dengeli
32,47000,medium,hold,Agresif
46,75000,short,sell,Defansif
25,33000,long,hold,Agresif
22,80000,long,buy,Agresif
46,51000,medium,sell,Defansif
64,82000,long,hold,Agresif
21,34000,medium,sell,Dengeli
29,48000,medium,hold,Agresif
62,59000,long,buy,Agresif
19,45000,long,hold,Agresif
44,73000,long,hold,Dengeli
48,17000,short,hold,Defansif
68,110000,short,hold,Defansif
68,71000,long,sell,Defansif
53,45000,medium,sell,Defansif
53,36000,medium,hold,Dengeli
43,28000,long,hold,Agresif
60,66000,long,hold,Dengeli
44,74000,long,sell,Agresif
22,45000,medium,hold,Dengeli
37,77000,long,sell,Agresif
28,27000,short,buy,Dengeli
27,22000,short,hold,Defansif
57,95000,medium,sell,Dengeli
55,64000,short,sell,Defansif
23,84000,medium,buy,Agresif
25,28000,medium,sell,Dengeli
40,26000,medium,buy,Agresif
64,41000,short,sell,Defansif
43,29000,medium,buy,Agresif
63,67000,medium,buy,Agresif
60,31000,medium,hold,Defansif
29,20000,long,sell,Defansif
43,53000,long,sell,Dengeli
30,17000,medium,hold,Dengeli
57,17000,long,hold,Dengeli
35,53000,short,sell,Defansif
42,17000,medium,sell,Defansif
50,69000,long,hold,Dengeli
64,17000,medium,hold,Defansif
57,17000,long,sell,Defansif
60,42000,medium,sell,Defansif
29,53000,long,buy,Agresif
61,62000,medium,hold,Dengeli
53,54000,medium,hold,Dengeli
65,23000,medium,hold,Defansif
21,67000,long,sell,Agresif
22,74000,medium,sell,Dengeli
73,19000,long,sell,Defansif
54,45000,medium,buy,Agresif
25,43000,short,hold,Dengeli
59,55000,medium,sell,Defansif
66,44000,medium,buy,Agresif
45,48000,long,sell,Defansif
48,66000,medium,buy,Agresif
75,22000,medium,buy,Dengeli
26,68000,medium,sell,Dengeli
71,78000,medium,sell,Defansif
68,90000,long,hold,Dengeli
46,17000,short,hold,Defansif
31,45000,medium,hold,Agresif
57,17000,long,buy,Agresif
58,17000,long,hold,Dengeli
39,53000,medium,sell,Defansif
28,40000,medium,sell,Defansif
40,57000,medium,hold,Dengeli
18,62000,medium,sell,Agresif
63,81000,long,hold,Agresif
54,51000,medium,sell,Defansif
38,123000,medium,sell,Agresif
43,57000,short,sell,Defansif
63,96000,medium,hold,Dengeli
53,17000,short,sell,Defansif
71,83000,short,hold,Defansif
40,45000,medium,hold,Agresif
74,17000,short,hold,Defansif
18,60000,short,hold,Agresif
71,42000,medium,sell,Defansif
72,64000,short,hold,Defansif
68,75000,short,sell,Defansif
57,17000,medium,hold,Defansif
32,75000,short,sell,Dengeli
38,50000,medium,hold,Agresif
64,83000,short,buy,Agresif
26,44000,long,hold,Agresif
70,38000,long,hold,Dengeli
26,50000,long,hold,Agresif
27,52000,medium,sell,Dengeli
69,33000,long,buy,Agresif
74,37000,medium,sell,Defansif
70,19000,short,buy,Defansif
43,39000,medium,hold,Agresif
58,66000,long,hold,Agresif
52,46000,medium,hold,Dengeli
69,75000,short,hold,Defansif
42,45000,long,hold,Agresif
43,17000,long,sell,Defansif
28,64000,short,hold,Agresif
55,33000,medium,hold,Defansif
19,44000,short,buy,Agresif
24,80000,long,hold,Agresif
35,20000,medium,sell,Defansif
44,54000,medium,sell,Defansif
51,48000,long,hold,Agresif
44,67000,medium,sell,Defansif
34,71000,medium,sell,Defansif
60,56000,medium,buy,Agresif
61,40000,medium,hold,Defansif
68,61000,medium,hold,Dengeli
71,83000,short,sell,Defansif
41,49000,medium,hold,Dengeli
42,43000,short,sell,Defansif
24,59000,medium,hold,Agresif
69,50000,long,sell,Defansif
23,17000,long,buy,Agresif
70,55000,medium,hold,Dengeli
41,17000,medium,hold,Dengeli
50,59000,medium,hold,Agresif
66,30000,long,hold,Dengeli
46,50000,short,sell,Defansif
60,59000,long,hold,Dengeli
39,111000,medium,sell,Dengeli
43,68000,long,buy,Agresif
45,84000,long,buy,Agresif
67,96000,long,sell,Dengeli
38,62000,medium,buy,Agresif
66,57000,short,hold,Defansif
24,23000,medium,sell,Defansif
34,47000,medium,buy,Agresif
37,31000,short,hold,Dengeli
58,39000,medium,hold,Defansif
66,96000,medium,hold,Dengeli
37,52000,medium,sell,Dengeli
71,28000,medium,buy,Dengeli
39,84000,short,sell,Dengeli
45,73000,long,sell,Defansif
57,75000,short,hold,Defansif
66,17000,medium,hold,Dengeli
24,98000,medium,hold,Agresif
18,36000,long,sell,Agresif
49,69000,short,sell,Defansif
30,113000,medium,sell,Agresif
47,103000,medium,buy,Agresif
40,25000,short,sell,Defansif
68,17000,medium,hold,Defansif
73,85000,long,hold,Agresif
36,53000,long,buy,Agresif
49,37000,short,buy,Dengeli
47,65000,short,sell,Defansif
46,45000,medium,sell,Defansif
66,67000,medium,hold,Dengeli
62,51000,short,sell,Defansif
46,68000,short,hold,Dengeli
47,27000,long,hold,Agresif
33,85000,long,buy,Agresif
57,67000,short,sell,Defansif
36,66000,medium,buy,Agresif
35,22000,medium,sell,Defansif
18,92000,short,hold,Agresif
31,49000,medium,hold,Dengeli
68,68000,medium,hold,Dengeli
64,41000,long,hold,Defansif
67,56000,long,buy,Agresif
19,57000,medium,buy,Agresif
71,17000,medium,buy,Dengeli
45,64000,medium,sell,Defansif
66,99000,medium,buy,Agresif
67,63000,medium,hold,Defansif
47,26000,short,sell,Defansif
55,66000,short,sell,Defansif
68,76000,medium,sell,Defansif
21,62000,long,sell,Agresif
18,48000,short,hold,Agresif
25,43000,medium,buy,Agresif
46,43000,medium,hold,Defansif
72,67000,medium,hold,Defansif
56,17000,short,buy,Dengeli
20,40000,long,sell,Dengeli
49,89000,long,buy,Agresif
27,90000,medium,hold,Agresif
27,17000,medium,hold,Agresif
36,21000,short,sell,Defansif
63,43000,medium,hold,Defansif
51,72000,long,sell,Dengeli
50,17000,short,hold,Defansif
40,48000,medium,sell,Defansif
72,38000,medium,buy,Dengeli
45,83000,medium,hold,Agresif
49,17000,long,sell,Defansif
67,52000,short,hold,Defansif
24,40000,long,sell,Dengeli
46,86000,medium,hold,Agresif
25,64000,long,buy,Agresif
18,35000,medium,hold,Dengeli
74,71000,medium,sell,Defansif
72,40000,long,hold,Dengeli
20,74000,medium,hold,Agresif
41,44000,medium,buy,Agresif
40,76000,medium,sell,Dengeli
25,60000,long,hold,Agresif
71,131000,medium,hold,Agresif
74,48000,long,sell,Defansif
64,59000,medium,sell,Defansif
54,38000,medium,hold,Dengeli
20,50000,long,buy,Agresif
68,17000,medium,buy,Agresif
50,61000,long,hold,Agresif
45,83000,long,hold,Agresif
64,59000,medium,sell,Defansif
25,17000,short,buy,Dengeli
51,29000,short,buy,Dengeli
52,17000,long,buy,Agresif
49,74000,long,hold,Agresif
41,24000,short,sell,Defansif
31,49000,short,buy,Agresif
49,46000,short,hold,Defansif
73,87000,long,sell,Dengeli
63,52000,medium,hold,Defansif
60,70000,medium,sell,Defansif
33,63000,medium,sell,Dengeli
21,83000,long,hold,Agresif
69,44000,medium,hold,Defansif
54,96000,medium,buy,Agresif
71,17000,short,sell,Defansif
38,71000,medium,sell,Dengeli
31,28000,long,sell,Dengeli
48,37000,long,sell,Dengeli
72,64000,short,sell,Defansif
65,64000,short,hold,Defansif
35,65000,short,hold,Agresif
24,17000,medium,hold,Dengeli
27,86000,long,buy,Agresif
24,27000,short,hold,Dengeli
50,30000,medium,sell,Defansif
40,65000,medium,sell,Dengeli
38,42000,short,buy,Agresif
36,57000,medium,hold,Agresif
65,17000,medium,buy,Dengeli
36,57000,medium,buy,Agresif
53,55000,long,buy,Agresif
46,37000,medium,buy,Agresif
35,17000,short,hold,Dengeli
19,44000,long,sell,Agresif
18,49000,medium,buy,Agresif
64,40000,long,hold,Dengeli
22,17000,short,sell,Defansif
37,89000,short,hold,Dengeli
28,34000,short,hold,Dengeli
59,44000,short,buy,Dengeli
19,17000,medium,hold,Dengeli
20,89000,long,sell,Agresif
40,38000,medium,buy,Agresif
72,52000,medium,buy,Dengeli
29,78000,medium,hold,Agresif
37,33000,short,sell,Defansif
22,74000,medium,hold,Agresif
54,17000,medium,hold,Dengeli
55,63000,long,sell,Dengeli
47,89000,long,sell,Dengeli
26,35000,medium,hold,Dengeli
51,77000,medium,hold,Agresif
70,95000,long,hold,Agresif
61,43000,long,sell,Defansif
52,41000,medium,hold,Dengeli
69,27000,long,hold,Dengeli
75,37000,short,sell,Defansif
39,29000,long,sell,Dengeli
61,27000,short,hold,Defansif
41,79000,medium,buy,Agresif
34,30000,long,hold,Agresif
27,56000,medium,sell,Dengeli
47,50000,medium,sell,Defansif
73,87000,medium,buy,Agresif
63,37000,long,sell,Defansif
40,59000,long,hold,Agresif
49,69000,long,hold,Agresif
34,87000,medium,sell,Dengeli
67,37000,long,buy,Agresif
68,34000,medium,hold,Dengeli
34,23000,medium,hold,Dengeli
31,105000,long,sell,Agresif
26,84000,medium,sell,Dengeli
57,48000,short,hold,Defansif
19,98000,short,hold,Dengeli
62,47000,short,sell,Defansif
42,68000,long,sell,Dengeli
56,50000,medium,sell,Defansif
26,59000,long,buy,Agresif
71,57000,medium,hold,Dengeli
39,39000,medium,buy,Agresif
60,77000,medium,sell,Defansif
63,67000,long,buy,Agresif
21,75000,medium,sell,Dengeli
43,58000,long,hold,Agresif
75,27000,medium,buy,Dengeli
46,92000,medium,sell,Dengeli
62,43000,medium,hold,Dengeli
51,59000,long,sell,Dengeli
40,65000,long,sell,Dengeli
54,58000,short,hold,Dengeli
28,72000,medium,hold,Dengeli
23,76000,medium,hold,Agresif
35,44000,long,hold,Agresif
38,90000,short,hold,Agresif
59,43000,long,sell,Defansif
53,58000,long,sell,Defansif
58,40000,short,buy,Dengeli
55,33000,long,sell,Defansif
51,76000,short,hold,Dengeli
34,128000,short,sell,Dengeli
54,40000,short,hold,Dengeli
42,80000,short,hold,Dengeli
55,41000,long,sell,Dengeli
75,49000,short,sell,Defansif
29,93000,medium,hold,Agresif
40,23000,short,hold,Dengeli
70,17000,medium,sell,Defansif
59,47000,short,hold,Defansif
39,66000,medium,sell,Defansif
38,61000,short,buy,Dengeli
44,59000,long,hold,Agresif
74,50000,long,sell,Defansif
48,69000,short,hold,Defansif
23,17000,long,hold,Agresif
44,31000,short,sell,Defansif
57,47000,short,hold,Defansif
51,67000,short,sell,Defansif
29,87000,medium,sell,Agresif
62,27000,medium,sell,Defansif
74,86000,long,hold,Dengeli
70,38000,medium,sell,Defansif
24,46000,long,hold,Agresif
27,64000,short,hold,Agresif
62,44000,long,hold,Agresif
34,77000,short,hold,Agresif
43,39000,short,buy,Agresif
38,40000,short,hold,Dengeli
45,76000,short,hold,Dengeli
75,30000,medium,sell,Defansif
63,56000,long,buy,Agresif
19,17000,short,sell,Defansif
71,95000,long,sell,Defansif
60,80000,medium,hold,Dengeli
18,118000,long,sell,Agresif
68,83000,short,sell,Defansif
70,21000,medium,hold,Defansif
53,66000,long,hold,Agresif
68,27000,medium,hold,Defansif
43,89000,medium,buy,Agresif
46,22000,short,sell,Defansif
38,21000,medium,sell,Defansif
28,17000,medium,hold,Dengeli
57,37000,long,sell,Defansif
28,32000,short,hold,Dengeli
53,18000,medium,sell,Defansif
66,99000,medium,hold,Dengeli
56,63000,medium,hold,Dengeli
57,60000,medium,hold,Dengeli
52,89000,long,hold,Agresif
71,56000,medium,hold,Dengeli
51,31000,long,sell,Defansif
72,17000,short,sell,Defansif
64,29000,short,sell,Defansif
41,87000,medium,hold,Agresif
71,18000,short,hold,Defansif
39,58000,short,hold,Dengeli
22,75000,short,sell,Dengeli
73,57000,long,hold,Dengeli
50,59000,short,buy,Agresif
75,66000,long,sell,Defansif
53,59000,short,sell,Defansif
64,90000,long,sell,Dengeli
37,23000,long,hold,Dengeli
36,56000,short,hold,Dengeli
52,17000,long,sell,Dengeli
69,17000,medium,hold,Defansif
60,47000,long,sell,Dengeli
34,63000,medium,hold,Agresif
62,90000,medium,hold,Agresif
60,110000,long,hold,Dengeli
51,82000,medium,sell,Defansif
26,68000,short,buy,Agresif
43,53000,long,hold,Agresif
19,17000,medium,sell,Dengeli
70,46000,medium,sell,Defansif
26,82000,short,hold,Agresif
26,72000,medium,buy,Agresif
57,17000,long,buy,Agresif
34,65000,medium,hold,Agresif
18,63000,medium,buy,Agresif
42,58000,medium,sell,Dengeli
